,index,Chainage,tnd_ot,tnd_hdd,hdd,drt,drt_duct_dam,dit,dit_duct_miss,blow
143,343,143,False,False,False,True,False,True,False,True
144,344,144,False,False,False,True,False,True,False,True
145,345,145,False,False,False,True,False,True,False,True
146,346,146,False,False,False,True,False,True,False,True
147,347,147,False,False,False,True,False,True,False,True
148,348,148,False,False,False,True,False,True,False,True
149,349,149,False,False,False,True,False,True,False,True
150,350,150,False,False,False,True,False,True,False,True
151,351,151,False,False,False,True,False,True,False,True
152,352,152,False,False,False,True,False,True,False,True
153,353,153,False,False,False,True,False,True,False,True
154,354,154,False,False,False,True,False,True,False,True
155,355,155,False,False,False,True,False,True,False,True
156,356,156,False,False,False,True,False,True,False,True
157,357,157,False,False,False,False,False,True,False,True
158,358,158,False,False,False,False,False,True,False,True
159,359,159,False,False,False,False,False,True,False,True
160,360,160,False,False,False,False,False,True,False,True
161,361,161,False,False,False,False,False,True,False,True
162,362,162,False,False,False,False,False,True,False,True
163,363,163,False,False,False,False,False,True,False,True
164,364,164,False,False,False,False,False,True,False,True
165,365,165,False,False,False,False,False,True,False,True
166,366,166,False,False,False,False,False,True,False,True
167,367,167,False,False,False,True,False,True,False,True
168,368,168,False,False,False,True,False,True,False,True
169,369,169,False,False,False,True,False,True,False,True
170,370,170,False,False,False,True,False,True,False,True
171,371,171,False,False,False,True,False,True,False,True
172,372,172,False,False,False,True,False,True,False,True
173,373,173,False,False,False,True,False,True,False,True
174,374,174,False,False,False,True,False,True,False,True
175,375,175,False,False,False,True,False,True,False,True
176,376,176,False,False,False,True,False,True,False,True
177,377,177,False,False,False,True,False,True,False,True
178,378,178,False,False,False,True,False,True,False,True
179,379,179,False,False,False,True,False,True,False,True
180,380,180,False,False,False,True,False,True,False,True
181,381,181,False,False,False,True,False,True,False,True
182,382,182,False,False,False,True,False,True,False,True
183,383,183,False,False,False,True,False,True,False,True
184,384,184,False,False,False,True,False,True,False,True
185,385,185,False,False,False,True,False,True,False,True
186,386,186,False,False,False,True,False,True,False,True
187,387,187,False,False,False,True,False,True,False,True
188,388,188,False,False,False,True,False,True,False,True
189,389,189,False,False,False,True,False,True,False,True
190,390,190,False,False,False,True,False,True,False,True
191,391,191,False,False,False,True,False,True,False,True
192,392,192,False,False,False,True,False,True,False,True
193,393,193,False,False,False,True,False,True,False,True
194,394,194,False,False,False,True,False,True,False,True
195,395,195,False,False,False,True,False,True,False,True
196,396,196,False,False,False,True,False,True,False,True
197,397,197,False,False,False,True,False,True,False,True
198,398,198,False,False,False,True,False,True,False,True
199,399,199,False,False,False,True,False,True,False,True
200,400,200,False,False,False,True,False,True,False,True
201,401,201,False,False,False,True,False,True,False,True
202,402,202,False,False,False,True,False,True,False,True
203,403,203,False,False,False,True,False,True,False,True
204,404,204,False,False,False,True,False,True,False,True
205,405,205,False,False,False,True,False,True,False,True
206,406,206,False,False,False,True,False,True,False,True
207,407,207,False,False,False,True,False,True,False,True
208,408,208,False,False,False,True,False,True,False,True
209,409,209,False,False,False,True,False,True,False,True
210,410,210,False,False,False,True,False,True,False,True
211,411,211,False,False,False,True,False,True,False,True
212,412,212,False,False,False,True,False,True,False,True
213,413,213,False,False,False,True,False,True,False,True
214,414,214,False,False,False,True,False,True,False,True
215,415,215,False,False,False,True,False,True,False,True
216,416,216,False,False,False,True,False,True,False,True
217,417,217,False,False,False,True,False,True,False,True
218,418,218,False,False,False,True,False,True,False,True
219,419,219,False,False,False,True,False,True,False,True
220,420,220,False,False,False,True,False,True,False,True
221,421,221,False,False,False,True,False,True,False,True
222,422,222,False,False,False,True,False,True,False,True
223,423,223,False,False,False,True,False,True,False,True
224,424,224,False,False,False,True,False,True,False,True
225,425,225,False,False,False,True,False,True,False,True
226,426,226,False,False,False,True,False,True,False,True
227,427,227,False,False,False,True,False,True,False,True
228,428,228,False,False,False,True,False,True,False,True
229,429,229,False,False,False,True,False,True,False,True
230,430,230,False,False,False,True,False,True,False,True
231,431,231,False,False,False,True,False,True,False,True
232,432,232,False,False,False,True,False,True,False,True
233,433,233,False,False,False,True,False,True,False,True
234,434,234,False,False,False,True,False,True,False,True
235,435,235,False,False,False,True,False,True,False,True
236,436,236,False,False,False,True,False,True,False,True
237,437,237,False,False,False,True,False,True,False,True
238,438,238,False,False,False,True,False,True,False,True
239,439,239,False,False,False,False,False,True,False,True
240,440,240,False,False,False,False,False,True,False,True
241,441,241,False,False,False,False,False,True,False,True
242,442,242,False,False,False,False,False,True,False,True
243,443,243,False,False,False,False,False,True,False,True
244,444,244,False,False,False,False,False,True,False,True
245,445,245,False,False,False,False,False,True,False,True
246,446,246,False,False,False,False,False,True,False,True
247,447,247,False,False,False,False,False,True,False,True
248,448,248,False,False,False,True,False,True,False,True
249,449,249,False,False,False,True,False,True,False,True
250,450,250,False,False,False,True,False,True,False,True
251,451,251,False,False,False,True,False,True,False,True
252,452,252,False,False,False,True,False,True,False,True
253,453,253,False,False,False,True,False,True,False,True
254,454,254,False,False,False,True,False,True,False,True
255,455,255,False,False,False,True,False,True,False,True
256,456,256,False,False,False,True,False,True,False,True
257,457,257,False,False,False,True,False,True,False,True
258,458,258,False,False,False,True,False,True,False,True
259,459,259,False,False,False,True,False,True,False,True
260,460,260,False,False,False,True,False,True,False,True
261,461,261,False,False,False,True,False,True,False,True
262,462,262,False,False,False,True,False,True,False,True
263,463,263,False,False,False,True,False,True,False,True
264,464,264,False,False,False,True,False,True,False,True
265,465,265,False,False,False,True,False,True,False,True
266,466,266,False,False,False,True,False,True,False,True
267,467,267,False,False,False,True,False,True,False,True
268,468,268,False,False,False,True,False,True,False,True
269,469,269,False,False,False,True,False,True,False,True
270,470,270,False,False,False,True,False,True,False,True
271,471,271,False,False,False,True,False,True,False,True
272,472,272,False,False,False,True,False,True,False,True
273,473,273,False,False,False,True,False,True,False,True
